received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,11.763,11.763,11:48:46,1,11.763
1,192.168.123.2,0.000,0,0.146,0.146,11:48:47,1,0.146
1,192.168.123.2,0.000,0,0.031,0.031,11:48:48,1,0.031
1,192.168.123.2,0.000,0,0.033,0.033,11:48:49,1,0.033
1,192.168.123.2,0.000,0,0.034,0.034,11:48:51,1,0.034
1,192.168.123.2,0.000,0,0.037,0.037,11:48:52,1,0.037
1,192.168.123.2,0.000,0,0.032,0.032,11:48:53,1,0.032
1,192.168.123.2,0.000,0,0.033,0.033,11:48:54,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,11:48:55,1,0.033
1,192.168.123.2,0.000,0,0.032,0.032,11:48:56,1,0.032
1,192.168.123.2,0.000,0,0.037,0.037,11:48:57,1,0.037
1,192.168.123.2,0.000,0,0.031,0.031,11:48:58,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,11:48:59,1,0.031
1,192.168.123.2,0.000,0,0.035,0.035,11:49:0,1,0.035
1,192.168.123.2,0.000,0,0.039,0.039,11:49:1,1,0.039
1,192.168.123.2,0.000,0,0.037,0.037,11:49:2,1,0.037
1,192.168.123.2,0.000,0,0.033,0.033,11:49:3,1,0.033
1,192.168.123.2,0.000,0,0.031,0.031,11:49:4,1,0.031
1,192.168.123.2,0.000,0,0.033,0.033,11:49:5,1,0.033
1,192.168.123.2,0.000,0,0.034,0.034,11:49:6,1,0.034
1,192.168.123.2,0.000,0,0.033,0.033,11:49:7,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,11:49:8,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,11:49:9,1,0.033
1,192.168.123.2,0.000,0,0.035,0.035,11:49:10,1,0.035
1,192.168.123.2,0.000,0,0.031,0.031,11:49:11,1,0.031
1,192.168.123.2,0.000,0,0.036,0.036,11:49:12,1,0.036
1,192.168.123.2,0.000,0,0.032,0.032,11:49:13,1,0.032
1,192.168.123.2,0.000,0,0.039,0.039,11:49:14,1,0.039
