received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,16.647,16.647,14:45:14,1,16.647
1,192.168.123.2,0.000,0,0.142,0.142,14:45:15,1,0.142
1,192.168.123.2,0.000,0,0.036,0.036,14:45:16,1,0.036
1,192.168.123.2,0.000,0,0.036,0.036,14:45:17,1,0.036
1,192.168.123.2,0.000,0,0.036,0.036,14:45:18,1,0.036
1,192.168.123.2,0.000,0,0.039,0.039,14:45:19,1,0.039
1,192.168.123.2,0.000,0,0.033,0.033,14:45:20,1,0.033
1,192.168.123.2,0.000,0,0.032,0.032,14:45:21,1,0.032
1,192.168.123.2,0.000,0,0.032,0.032,14:45:22,1,0.032
1,192.168.123.2,0.000,0,0.044,0.044,14:45:23,1,0.044
1,192.168.123.2,0.000,0,0.041,0.041,14:45:24,1,0.041
1,192.168.123.2,0.000,0,0.034,0.034,14:45:25,1,0.034
1,192.168.123.2,0.000,0,0.035,0.035,14:45:26,1,0.035
1,192.168.123.2,0.000,0,0.036,0.036,14:45:27,1,0.036
1,192.168.123.2,0.000,0,0.033,0.033,14:45:28,1,0.033
1,192.168.123.2,0.000,0,0.034,0.034,14:45:29,1,0.034
1,192.168.123.2,0.000,0,0.032,0.032,14:45:30,1,0.032
1,192.168.123.2,0.000,0,0.034,0.034,14:45:31,1,0.034
1,192.168.123.2,0.000,0,0.032,0.032,14:45:32,1,0.032
1,192.168.123.2,0.000,0,0.034,0.034,14:45:33,1,0.034
1,192.168.123.2,0.000,0,0.033,0.033,14:45:34,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,14:45:35,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,14:45:36,1,0.033
1,192.168.123.2,0.000,0,0.036,0.036,14:45:37,1,0.036
1,192.168.123.2,0.000,0,0.033,0.033,14:45:38,1,0.033
1,192.168.123.2,0.000,0,0.037,0.037,14:45:39,1,0.037
1,192.168.123.2,0.000,0,0.033,0.033,14:45:40,1,0.033
1,192.168.123.2,0.000,0,0.031,0.031,14:45:41,1,0.031
1,192.168.123.2,0.000,0,0.038,0.038,14:45:42,1,0.038
1,192.168.123.2,0.000,0,0.035,0.035,14:45:43,1,0.035
