received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,28.268,28.268,17:18:17,1,28.268
1,192.168.123.2,0.000,0,0.036,0.036,17:18:18,1,0.036
1,192.168.123.2,0.000,0,0.035,0.035,17:18:19,1,0.035
1,192.168.123.2,0.000,0,0.034,0.034,17:18:20,1,0.034
1,192.168.123.2,0.000,0,0.034,0.034,17:18:21,1,0.034
1,192.168.123.2,0.000,0,0.030,0.030,17:18:22,1,0.030
1,192.168.123.2,0.000,0,0.029,0.029,17:18:23,1,0.029
1,192.168.123.2,0.000,0,0.034,0.034,17:18:24,1,0.034
1,192.168.123.2,0.000,0,0.036,0.036,17:18:25,1,0.036
1,192.168.123.2,0.000,0,0.047,0.047,17:18:26,1,0.047
1,192.168.123.2,0.000,0,0.037,0.037,17:18:27,1,0.037
1,192.168.123.2,0.000,0,0.046,0.046,17:18:28,1,0.046
1,192.168.123.2,0.000,0,0.031,0.031,17:18:29,1,0.031
1,192.168.123.2,0.000,0,0.033,0.033,17:18:30,1,0.033
1,192.168.123.2,0.000,0,0.034,0.034,17:18:31,1,0.034
1,192.168.123.2,0.000,0,0.030,0.030,17:18:32,1,0.030
1,192.168.123.2,0.000,0,0.038,0.038,17:18:33,1,0.038
1,192.168.123.2,0.000,0,0.034,0.034,17:18:34,1,0.034
1,192.168.123.2,0.000,0,0.037,0.037,17:18:35,1,0.037
1,192.168.123.2,0.000,0,0.030,0.030,17:18:36,1,0.030
1,192.168.123.2,0.000,0,20.471,20.471,17:19:28,1,20.471
1,192.168.123.2,0.000,0,0.034,0.034,17:19:29,1,0.034
1,192.168.123.2,0.000,0,0.032,0.032,17:19:30,1,0.032
1,192.168.123.2,0.000,0,0.032,0.032,17:19:31,1,0.032
1,192.168.123.2,0.000,0,0.035,0.035,17:19:32,1,0.035
1,192.168.123.2,0.000,0,0.032,0.032,17:19:33,1,0.032
1,192.168.123.2,0.000,0,0.031,0.031,17:19:34,1,0.031
1,192.168.123.2,0.000,0,0.036,0.036,17:19:35,1,0.036
1,192.168.123.2,0.000,0,0.033,0.033,17:19:36,1,0.033
1,192.168.123.2,0.000,0,0.035,0.035,17:19:37,1,0.035
1,192.168.123.2,0.000,0,0.030,0.030,17:19:38,1,0.030
1,192.168.123.2,0.000,0,0.040,0.040,17:19:39,1,0.040
1,192.168.123.2,0.000,0,0.040,0.040,17:19:40,1,0.040
1,192.168.123.2,0.000,0,0.034,0.034,17:19:41,1,0.034
1,192.168.123.2,0.000,0,0.031,0.031,17:19:42,1,0.031
1,192.168.123.2,0.000,0,0.030,0.030,17:19:43,1,0.030
1,192.168.123.2,0.000,0,0.030,0.030,17:19:44,1,0.030
1,192.168.123.2,0.000,0,0.037,0.037,17:19:45,1,0.037
1,192.168.123.2,0.000,0,0.044,0.044,17:19:46,1,0.044
1,192.168.123.2,0.000,0,0.042,0.042,17:19:47,1,0.042
1,192.168.123.2,0.000,0,0.034,0.034,17:19:48,1,0.034
1,192.168.123.2,0.000,0,0.032,0.032,17:19:49,1,0.032
1,192.168.123.2,0.000,0,0.032,0.032,17:19:50,1,0.032
1,192.168.123.2,0.000,0,0.037,0.037,17:19:51,1,0.037
1,192.168.123.2,0.000,0,0.029,0.029,17:19:52,1,0.029
1,192.168.123.2,0.000,0,0.030,0.030,17:19:53,1,0.030
1,192.168.123.2,0.000,0,0.030,0.030,17:19:54,1,0.030
1,192.168.123.2,0.000,0,0.033,0.033,17:19:55,1,0.033
1,192.168.123.2,0.000,0,0.031,0.031,17:19:56,1,0.031
