received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,109.892,109.892,12:8:54,1,109.892
1,192.168.123.2,0.000,0,0.130,0.130,12:8:55,1,0.130
1,192.168.123.2,0.000,0,0.043,0.043,12:8:56,1,0.043
1,192.168.123.2,0.000,0,0.062,0.062,12:8:57,1,0.062
1,192.168.123.2,0.000,0,0.046,0.046,12:8:58,1,0.046
1,192.168.123.2,0.000,0,0.044,0.044,12:8:59,1,0.044
1,192.168.123.2,0.000,0,0.033,0.033,12:9:0,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,12:9:1,1,0.033
1,192.168.123.2,0.000,0,0.031,0.031,12:9:2,1,0.031
1,192.168.123.2,0.000,0,0.033,0.033,12:9:3,1,0.033
1,192.168.123.2,0.000,0,0.032,0.032,12:9:4,1,0.032
1,192.168.123.2,0.000,0,0.031,0.031,12:9:5,1,0.031
1,192.168.123.2,0.000,0,0.035,0.035,12:9:6,1,0.035
1,192.168.123.2,0.000,0,0.033,0.033,12:9:7,1,0.033
1,192.168.123.2,0.000,0,0.035,0.035,12:9:8,1,0.035
1,192.168.123.2,0.000,0,0.030,0.030,12:9:14,1,0.030
1,192.168.123.2,0.000,0,0.117,0.117,12:9:15,1,0.117
1,192.168.123.2,0.000,0,0.034,0.034,12:9:16,1,0.034
1,192.168.123.2,0.000,0,0.031,0.031,12:9:17,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,12:9:18,1,0.031
