received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,213.156,213.156,12:3:7,1,213.156
1,192.168.123.2,0.000,0,0.123,0.123,12:3:8,1,0.123
1,192.168.123.2,0.000,0,0.031,0.031,12:3:9,1,0.031
1,192.168.123.2,0.000,0,0.033,0.033,12:3:10,1,0.033
1,192.168.123.2,0.000,0,0.035,0.035,12:3:11,1,0.035
1,192.168.123.2,0.000,0,0.031,0.031,12:3:12,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,12:3:13,1,0.031
1,192.168.123.2,0.000,0,0.032,0.032,12:3:14,1,0.032
1,192.168.123.2,0.000,0,0.036,0.036,12:3:15,1,0.036
1,192.168.123.2,0.000,0,0.037,0.037,12:3:16,1,0.037
1,192.168.123.2,0.000,0,0.031,0.031,12:3:17,1,0.031
1,192.168.123.2,0.000,0,0.035,0.035,12:3:18,1,0.035
1,192.168.123.2,0.000,0,0.030,0.030,12:3:19,1,0.030
1,192.168.123.2,0.000,0,0.033,0.033,12:3:20,1,0.033
1,192.168.123.2,0.000,0,0.032,0.032,12:3:21,1,0.032
1,192.168.123.2,0.000,0,0.040,0.040,12:3:22,1,0.040
1,192.168.123.2,0.000,0,0.031,0.031,12:3:23,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,12:3:24,1,0.031
1,192.168.123.2,0.000,0,0.032,0.032,12:3:25,1,0.032
1,192.168.123.2,0.000,0,0.029,0.029,12:3:26,1,0.029
1,192.168.123.2,0.000,0,0.067,0.067,12:3:27,1,0.067
1,192.168.123.2,0.000,0,0.030,0.030,12:3:29,1,0.030
1,192.168.123.2,0.000,0,0.035,0.035,12:3:30,1,0.035
1,192.168.123.2,0.000,0,0.031,0.031,12:3:31,1,0.031
1,192.168.123.2,0.000,0,0.037,0.037,12:3:32,1,0.037
1,192.168.123.2,0.000,0,0.032,0.032,12:3:33,1,0.032
1,192.168.123.2,0.000,0,0.031,0.031,12:3:34,1,0.031
1,192.168.123.2,0.000,0,0.037,0.037,12:3:35,1,0.037
1,192.168.123.2,0.000,0,0.030,0.030,12:3:36,1,0.030
1,192.168.123.2,0.000,0,0.036,0.036,12:3:37,1,0.036
1,192.168.123.2,0.000,0,0.031,0.031,12:3:38,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,12:3:39,1,0.031
1,192.168.123.2,0.000,0,0.034,0.034,12:3:40,1,0.034
1,192.168.123.2,0.000,0,0.032,0.032,12:3:41,1,0.032
1,192.168.123.2,0.000,0,0.031,0.031,12:3:42,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,12:3:43,1,0.031
1,192.168.123.2,0.000,0,0.034,0.034,12:3:44,1,0.034
1,192.168.123.2,0.000,0,0.045,0.045,12:3:45,1,0.045
1,192.168.123.2,0.000,0,0.037,0.037,12:3:46,1,0.037
1,192.168.123.2,0.000,0,0.033,0.033,12:3:47,1,0.033
1,192.168.123.2,0.000,0,0.032,0.032,12:3:48,1,0.032
1,192.168.123.2,0.000,0,0.033,0.033,12:3:49,1,0.033
1,192.168.123.2,0.000,0,0.037,0.037,12:3:50,1,0.037
1,192.168.123.2,0.000,0,0.031,0.031,12:3:51,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,12:3:52,1,0.031
1,192.168.123.2,0.000,0,0.035,0.035,12:3:53,1,0.035
1,192.168.123.2,0.000,0,0.036,0.036,12:3:54,1,0.036
1,192.168.123.2,0.000,0,0.031,0.031,12:3:55,1,0.031
1,192.168.123.2,0.000,0,0.030,0.030,12:3:56,1,0.030
1,192.168.123.2,0.000,0,0.031,0.031,12:3:57,1,0.031
1,192.168.123.2,0.000,0,0.032,0.032,12:3:58,1,0.032
1,192.168.123.2,0.000,0,0.033,0.033,12:3:59,1,0.033
1,192.168.123.2,0.000,0,0.034,0.034,12:4:0,1,0.034
1,192.168.123.2,0.000,0,0.033,0.033,12:4:1,1,0.033
1,192.168.123.2,0.000,0,0.030,0.030,12:4:2,1,0.030
1,192.168.123.2,0.000,0,0.031,0.031,12:4:3,1,0.031
1,192.168.123.2,0.000,0,0.032,0.032,12:4:4,1,0.032
1,192.168.123.2,0.000,0,0.032,0.032,12:4:5,1,0.032
1,192.168.123.2,0.000,0,0.031,0.031,12:4:6,1,0.031
1,192.168.123.2,0.000,0,0.036,0.036,12:4:7,1,0.036
1,192.168.123.2,0.000,0,0.031,0.031,12:4:8,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,12:4:9,1,0.031
1,192.168.123.2,0.000,0,0.037,0.037,12:4:10,1,0.037
1,192.168.123.2,0.000,0,0.037,0.037,12:4:11,1,0.037
1,192.168.123.2,0.000,0,0.089,0.089,12:4:12,1,0.089
1,192.168.123.2,0.000,0,0.031,0.031,12:4:13,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,12:4:14,1,0.031
1,192.168.123.2,0.000,0,0.030,0.030,12:4:15,1,0.030
1,192.168.123.2,0.000,0,0.030,0.030,12:4:16,1,0.030
1,192.168.123.2,0.000,0,0.031,0.031,12:4:17,1,0.031
1,192.168.123.2,0.000,0,0.030,0.030,12:4:18,1,0.030
1,192.168.123.2,0.000,0,0.034,0.034,12:4:19,1,0.034
1,192.168.123.2,0.000,0,0.030,0.030,12:4:20,1,0.030
1,192.168.123.2,0.000,0,0.038,0.038,12:4:21,1,0.038
1,192.168.123.2,0.000,0,0.031,0.031,12:4:22,1,0.031
1,192.168.123.2,0.000,0,0.029,0.029,12:4:23,1,0.029
1,192.168.123.2,0.000,0,0.036,0.036,12:4:24,1,0.036
1,192.168.123.2,0.000,0,0.035,0.035,12:4:25,1,0.035
1,192.168.123.2,0.000,0,0.040,0.040,12:4:26,1,0.040
